144,1084,432,1084,432,1110,144,1110,0.99997663
0,477,208,477,208,504,0,504,0.99997604
0,650,192,650,192,677,0,677,0.99997544
0,794,272,794,272,821,0,821,0.99997485
544,651,576,651,576,675,544,675,0.9999746
160,246,432,246,432,273,160,273,0.9999746
0,996,352,996,352,1024,0,1024,0.99997413
0,824,64,824,64,850,0,850,0.9999738
0,564,336,564,336,591,0,591,0.99997354
128,217,464,217,464,245,128,245,0.99997175
0,853,96,853,96,878,0,878,0.9999714
112,1113,464,1113,464,1139,112,1139,0.9999709
0,909,368,909,368,938,0,938,0.99997056
0,507,224,507,224,535,0,535,0.99997056
0,680,80,680,80,705,0,705,0.99996996
0,621,208,621,208,648,0,648,0.99996984
0,537,112,537,112,561,0,561,0.99996877
0,966,576,966,576,995,0,995,0.9999678
0,736,176,736,176,765,0,765,0.9999676
0,593,192,593,192,621,0,621,0.99996746
80,1055,480,1055,480,1081,80,1081,0.99996734
464,795,576,795,576,820,464,820,0.9999672
64,334,512,334,512,359,64,359,0.999966
96,361,464,361,464,390,96,390,0.9999659
448,851,576,851,576,877,448,877,0.9999658
416,910,544,910,544,936,416,936,0.99996567
432,822,576,822,576,848,432,848,0.99996567
304,621,560,621,560,648,304,648,0.99996567
304,534,560,534,560,560,304,560,0.99996555
48,304,512,304,512,332,48,332,0.9999654
32,273,528,273,528,304,32,304,0.9999653
176,390,384,390,384,419,176,419,0.9999651
528,477,576,477,576,503,528,503,0.99996483
304,679,560,679,560,705,304,705,0.9999647
528,560,576,560,576,588,528,588,0.9999647
416,737,576,737,576,764,416,764,0.9999645
176,419,384,419,384,446,176,446,0.99996424
