32,285,320,285,320,305,32,305,0.99997294
224,380,480,380,480,400,224,400,0.9999728
160,961,384,961,384,983,160,983,0.9999727
96,1006,448,1006,448,1028,96,1028,0.99997246
32,108,432,108,432,142,32,142,0.9999722
208,685,336,685,336,707,208,707,0.9999722
32,329,256,329,256,348,32,348,0.999972
336,249,511,249,511,274,336,274,0.99997175
224,402,352,402,352,422,224,422,0.99997115
64,428,176,428,176,447,64,447,0.9999707
192,577,304,577,304,598,192,598,0.99997056
32,217,224,217,224,237,32,237,0.99996984
192,543,304,543,304,566,192,566,0.99996984
32,169,208,169,208,188,32,188,0.9999697
32,191,368,191,368,212,32,212,0.9999697
32,238,272,238,272,258,32,258,0.99996686
192,625,256,625,256,644,192,644,0.99996483
64,1142,464,1142,464,1168,64,1168,0.99996436
192,650,288,650,288,669,192,669,0.9999633
16,458,288,458,288,478,16,478,0.99996173
192,483,288,483,288,503,192,503,0.999959
192,1102,336,1102,336,1122,192,1122,0.9999571
48,894,480,894,480,917,48,917,0.999954
16,710,112,710,112,731,16,731,0.99995303
48,1049,480,1049,480,1070,48,1070,0.9999527
384,461,448,461,448,480,384,480,0.99995255
384,547,448,547,448,565,384,565,0.99995244
384,653,448,653,448,671,384,671,0.9999517
384,430,496,430,496,449,384,449,0.99995065
416,712,480,712,480,732,416,732,0.9999504
16,685,160,685,160,707,16,707,0.9999496
32,1076,496,1076,496,1096,32,1096,0.99994934
32,380,176,380,176,399,32,399,0.999949
384,581,448,581,448,600,384,600,0.9999485
16,776,432,776,432,798,16,798,0.999948
384,687,480,687,480,708,384,708,0.9999479
272,711,336,711,336,730,272,730,0.99994636
384,628,448,628,448,645,384,645,0.9999461
384,521,448,521,448,539,384,539,0.999946
32,148,432,148,432,170,32,170,0.9999454
192,518,256,518,256,537,192,537,0.99994445
384,487,448,487,448,506,384,506,0.9999443
80,937,448,937,448,956,80,956,0.9999434
16,265,128,265,128,284,16,284,0.999943
